stop_id,graph_degree,degree_centrality,closeness,betweenness,in_largest_component,name,stop_lat,stop_lon,hub_station,station_cluster,is_hub,is_station,route_count,routes_serving,max_pax_per_vehicle_hour_2024_serving_route,pagerank
7168,3,0.0003585086042065,0.0362324122510124,0.0011045376678219,True,Sheppard Ave East at McCowan Rd,43.789822,-79.2586,,,False,False,3,"385,85,985",,7.745943111224854e-05
7378,4,0.0004780114722753,0.0375764106259953,0.0014630891199553,True,Sheppard Ave East at Brimley Rd,43.787766,-79.268187,,,False,False,3,"385,85,985",,0.0001210627601277
4146,5,0.0005975143403441,0.0390265164568568,0.0114066869022079,True,Sheppard Ave East at Midland Ave,43.78523,-79.279671,,,False,False,4,"385,85,904,985",,0.0001140159856984
4057,4,0.0004780114722753,0.0381988520056325,0.0108366575871135,True,Sheppard Ave East at Reidmount Ave - Agincourt GO Station,43.784251,-79.284671,,Agincourt GO Station,False,True,4,"385,85,904,985",,6.313048985227502e-05
717,2,0.0002390057361376,0.0379786480875358,0.0087807328020822,True,Sheppard Ave East at Kennedy Rd,43.783432,-79.288075,,,False,False,4,"385,85,904,985",,0.000119391858569
43013,2,0.0002390057361376,0.0381427327563382,0.0088046362322244,True,Sheppard Ave East at Allanford Rd,43.782311,-79.293126,,,False,False,4,"385,85,904,985",,0.0
9361,3,0.0003585086042065,0.038571707424254,0.0089049974396132,True,Sheppard Ave East at Birchmount Rd,43.781231,-79.297891,,,False,False,4,"385,85,904,985",,0.0
1415,4,0.0004780114722753,0.0394307057486497,0.0091380226842914,True,Sheppard Ave East at Warden Ave,43.778938,-79.307608,,,False,False,4,"385,85,904,985",,0.0
8401,5,0.0005975143403441,0.0402641486121094,0.025430379100137,True,Sheppard Ave East at Pharmacy Ave,43.776681,-79.317566,,,False,False,5,"324,385,85,904,985",,0.0001548658799497
1558,4,0.0004780114722753,0.0408747500457539,0.0248072465556168,True,Sheppard Ave East at Victoria Park Ave West Side,43.775213,-79.323709,,,False,False,4,"385,85,904,985",,0.0001534734219041
6653,5,0.0005975143403441,0.0415424297102852,0.0602493306457827,True,Sheppard Ave East at Brian Dr West Side,43.775295,-79.331712,,,False,False,5,"167,385,85,904,985",,0.000165820075479
3728,13,0.0015535372848948,0.0424169226040893,0.0939460255729869,True,Don Mills Station at Bus Bay 10,43.775711,-79.345959,,Don Mills Station,False,True,2,"904,985",,0.0001214220563809
9422,2,0.0002390057361376,0.0264863454344418,0.0001422181217151,True,Kingston Rd at Birchmount Rd East Side,43.693238,-79.261882,,,False,False,1,316,,0.0
9475,2,0.0002390057361376,0.0258211505029398,2.2700971003973217e-05,True,1859 Kingston Rd,43.695079,-79.259393,,,False,False,1,316,,0.0
9941,2,0.0002390057361376,0.0257377396846533,1.1951715071112704e-05,True,Kingston Rd at Lakehurst Dr,43.696163,-79.258001,,,False,False,1,316,,0.0
