structure,avg_runtime_s,std_runtime_s,avg_edges_evaluated,std_edges_evaluated,avg_path_cost,avg_hops,nodes,edges,density,components,avg_degree,trials_found
Directed full graph,0.005841656125085137,0.0023235232851473967,6787.375,2227.872331396034,2.782060592791186,114.75,9406,10448,0.00011810530068752704,391,2.2215607059323834,8
Largest weakly connected component,0.004117531374504324,0.002702841532336334,5041.5,3286.2956566409457,1.674168112425185,95.125,8990,10420,0.0001289426664229708,1,2.318131256952169,8
Undirected giant component,0.005665682125254534,0.0038963628291000542,10149.75,6661.687018208783,1.211828053568757,48.75,8990,10419,0.0002578605837736915,1,2.317908787541713,8
Hub neighborhood component,2.364049987590988e-05,1.3049029379924886e-05,36.5,24.541510024562758,0.3410040807411785,5.125,119,166,0.011821677823671842,1,2.7899159663865545,8
