nodes,edges,density,components,avg_degree,structure,trials_found
9406,10448,0.00011810530068752704,391,2.2215607059323834,Directed full graph,8
8990,10420,0.0001289426664229708,1,2.318131256952169,Largest weakly connected component,8
8990,10419,0.0002578605837736915,1,2.317908787541713,Undirected giant component,8
119,166,0.011821677823671842,1,2.7899159663865545,Hub neighborhood component,8
