stop_name,entity_type,platform_stop_count,graph_degree,Degree,Closeness,Betweenness,route_count,routes_serving,member_stop_ids
Lansdowne Station,station,8,11,0.0015087093677136195,0.04652518607884984,0.12619036562199382,4,"2,300,402,47","4408,5224,13768,13767,535,536,5210,13703"
Christie Station,station,5,6,0.000822932382389247,0.04924968495916247,0.12490194761933443,3,"126,2,300","776,13761,13762,517,538"
Laird Station,station,6,10,0.001371553970648745,0.0510947202223366,0.12426363546586357,7,"156,334,34,354,5,51,88","16075,16076,2284,2285,2313,16685"
Oakwood Station,station,6,8,0.001097243176518996,0.051920574468378285,0.12245202445020024,5,"334,34,363,5,90","16206,16207,2388,2389,5903,5904"
Keelesdale Station,station,9,16,0.002194486353037992,0.049026772665146455,0.12107619694943172,8,"158,164,334,34,341,41,5,941","16202,16203,16579,16581,16583,2369,2414,15994,15998"
Sunnybrook Park Station,station,5,6,0.000822932382389247,0.05041176345890183,0.12089254504970119,5,"334,34,354,5,51","16216,16217,2287,5439,15965"
Fairbank Station,station,7,14,0.001920175558908243,0.05089216753079323,0.12043108225520355,6,"29,329,334,34,5,929","16204,16205,2046,2340,2341,2387,16367"
O'Connor Station,station,9,13,0.0017830201618433683,0.04635009893784095,0.11615514854082135,7,"24,324,334,34,5,70,924","16222,16223,5939,6152,6153,8453,11722,15960,16126"
Mount Dennis Station,station,17,13,0.0017830201618433683,0.04799206794703202,0.11322992874761241,13,"161,164,168,171,27,32,334,34,35,5,71,89,989","16067,16068,16585,16586,16587,16588,16589,16591,16592,16593,16594,16595,16596,16598,16329,16746,16747"
Dundas West Station,station,8,7,0.0009600877794541215,0.04576119785995847,0.11303464051761007,9,"168,2,304,305,340,40,402,504,505","14663,14665,14666,13769,13770,3490,3491,9855"
Finch Station,station,20,14,0.001920175558908243,0.048612906471437976,0.11268942034202044,14,"1,125,320,336,339,36,39,42,53,60,939,953,960,97","9132,8989,3212,9131,14683,14684,14685,14686,14687,14689,14690,14692,14111,14944,14955,3595,8988,9003,9130,15282"
Islington Station,station,11,13,0.0017830201618433683,0.03897413828926348,0.11053531681956284,8,"110,149,2,300,337,37,50,937","13784,13783,16045,16046,16047,518,526,527,9901,11999,13363"
Sloane Station,station,8,10,0.001371553970648745,0.04711726512647856,0.10929173173320864,4,"334,34,5,91","16079,16080,2246,2311,7534,7535,8104,8105"
Wynford Station,station,7,8,0.001097243176518996,0.04793833640185651,0.10891639326367546,4,"100,334,34,5","16220,16221,2320,2321,4721,11338,16664"
Caledonia Station,station,6,9,0.0012343985735838703,0.049877379007484644,0.1076735890448503,5,"18,334,34,47,5","16083,16084,16599,16600,2332,16330"
Aga Khan Park & Museum Station,station,4,2,0.000274310794129749,0.04887632825205835,0.10704759685968739,3,"334,34,5","16218,16219,2266,2267"
Finch West Station,station,12,16,0.002194486353037992,0.048021830077084875,0.09383268022366012,10,"1,101,107,336,341,36,41,6,939,941","11321,15659,15565,15566,15567,15568,15653,16323,2611,2612,3995,9149"
Sheppard West Station,station,13,10,0.001371553970648745,0.0499578247365826,0.09264298106163278,10,"1,104,105,106,107,108,329,384,84,984","7275,14651,14652,14654,14655,14657,14660,14945,14653,1647,3172,4598,15435"
Kipling Station,station,16,18,0.0024687971471677407,0.03825377564664179,0.09137277669812095,14,"111,112,123,149,2,40,44,45,46,49,900,927,944,945","14716,14717,14718,14719,14720,14721,14722,14723,14724,13785,14948,15052,4618,4699,12130,16241"
Avenue Station,station,5,9,0.0012343985735838703,0.05325737464949438,0.08884308222063539,5,"13,334,34,5,61","16071,16072,2324,4772,11488"
North York Centre Station,station,6,5,0.0006857769853243725,0.05017442779267335,0.08669092116827579,3,"1,320,97","8984,13789,13790,9033,11494,13869"
Weston GO Station,station,10,16,0.002194486353037992,0.04470034965361271,0.08600354794896399,7,"158,352,52,79,89,952,989","5415,8778,5397,15999,5398,5413,5414,16057,16058,16134"
Forest Hill Station,station,6,10,0.001371553970648745,0.05278389680783668,0.08339942742647947,6,"307,33,334,34,5,7","16208,16209,130,131,2326,2327"
Chaplin Station,station,10,12,0.001645864764778494,0.05272960025494983,0.08301707585183592,5,"14,33,334,34,5","16210,16211,2410,3411,3413,3414,4604,12795,16200,16201"
St Clair West Station,station,6,7,0.0009600877794541215,0.05209186695860917,0.08301422708737462,6,"1,126,311,33,512,90","14779,14780,14783,13829,15308,4632"
