Page,Metric,Route,Year,Value,Recovery_Rate_pct
1,Passengers,30 HIGH PARK,2022,350,60
1,Passengers,30 HIGH PARK,2023,496,85
1,Passengers,30 HIGH PARK,2024,505,87
1,Passengers,31 GREENWOOD,2019,2889,
1,Passengers,31 GREENWOOD,2020,1309,45
1,Passengers,31 GREENWOOD,2021,1908,66
1,Passengers,31 GREENWOOD,2022,1952,68
1,Passengers,31 GREENWOOD,2023,2853,99
1,Passengers,31 GREENWOOD,2024,2895,100
1,Passengers,32 EGLINTON WEST,2019,40966,
1,Passengers,32 EGLINTON WEST,2020,16586,40
1,Passengers,32 EGLINTON WEST,2021,24176,59
1,Passengers,32 EGLINTON WEST,2022,29276,71
1,Passengers,32 EGLINTON WEST,2023,31922,78
1,Passengers,32 EGLINTON WEST,2024,32221,79
1,Passengers,33 FOREST HILL,2019,938,
1,Passengers,33 FOREST HILL,2020,318,34
1,Passengers,33 FOREST HILL,2021,546,58
1,Passengers,33 FOREST HILL,2022,747,80
1,Passengers,33 FOREST HILL,2023,914,97
1,Passengers,33 FOREST HILL,2024,907,97
1,Passengers,34 EGLINTON EAST,2019,22559,
1,Passengers,34 EGLINTON EAST,2020,11743,52
1,Passengers,34 EGLINTON EAST,2021,14061,62
1,Passengers,34 EGLINTON EAST,2022,17401,77
1,Passengers,34 EGLINTON EAST,2023,18721,83
1,Passengers,34 EGLINTON EAST,2024,19840,88
1,Passengers,35 JANE,2019,31085,
1,Passengers,35 JANE,2020,26082,84
1,Passengers,35 JANE,2021,20334,65
1,Passengers,35 JANE,2022,24840,80
1,Passengers,35 JANE,2023,28808,93
1,Passengers,35 JANE,2024,25820,83
1,Passengers,36 FINCH WEST,2019,54870,
1,Passengers,36 FINCH WEST,2020,28380,52
1,Passengers,36 FINCH WEST,2021,30183,55
1,Passengers,36 FINCH WEST,2022,36695,67
1,Passengers,36 FINCH WEST,2023,35476,65
1,Passengers,36 FINCH WEST,2024,39541,72
1,Passengers,37 ISLINGTON,2019,11498,
1,Passengers,37 ISLINGTON,2020,6552,57
1,Passengers,37 ISLINGTON,2021,6447,56
1,Passengers,37 ISLINGTON,2022,9516,83
1,Passengers,37 ISLINGTON,2023,11543,100
1,Passengers,37 ISLINGTON,2024,12034,105
1,Passengers,38 HIGHLAND CREEK,2019,10471,
1,Passengers,38 HIGHLAND CREEK,2020,3274,31
1,Passengers,38 HIGHLAND CREEK,2021,4064,39
1,Passengers,38 HIGHLAND CREEK,2022,7925,76
1,Passengers,38 HIGHLAND CREEK,2023,8663,83
1,Passengers,38 HIGHLAND CREEK,2024,8801,84
1,Passengers,39 FINCH EAST,2019,20555,
1,Passengers,39 FINCH EAST,2020,16298,79
1,Passengers,39 FINCH EAST,2021,12072,59
1,Passengers,39 FINCH EAST,2022,15245,74
1,Passengers,39 FINCH EAST,2023,18411,90
1,Passengers,39 FINCH EAST,2024,17587,86
1,Passengers,40 JUNCTION-DUNDAS WEST,2019,6647,
1,Passengers,40 JUNCTION-DUNDAS WEST,2020,3414,51
1,Passengers,40 JUNCTION-DUNDAS WEST,2021,3612,54
1,Passengers,40 JUNCTION-DUNDAS WEST,2022,3865,58
1,Passengers,40 JUNCTION-DUNDAS WEST,2023,4940,74
1,Passengers,40 JUNCTION-DUNDAS WEST,2024,4617,69
1,Passengers,41 KEELE,2019,16417,
1,Passengers,41 KEELE,2020,13965,85
1,Passengers,41 KEELE,2021,16712,102
1,Passengers,41 KEELE,2022,20249,123
1,Passengers,41 KEELE,2023,22403,136
1,Passengers,41 KEELE,2024,22383,136
1,Passengers,42 CUMMER,2019,8428,
1,Passengers,42 CUMMER,2020,2763,33
1,Passengers,42 CUMMER,2021,4432,53
1,Passengers,42 CUMMER,2022,6039,72
1,Passengers,42 CUMMER,2023,8070,96
1,Passengers,42 CUMMER,2024,8758,104
1,Passengers,43 KENNEDY,2019,18223,
1,Passengers,43 KENNEDY,2020,9764,54
1,Passengers,43 KENNEDY,2021,11641,64
1,Passengers,43 KENNEDY,2022,13903,76
1,Passengers,43 KENNEDY,2023,18600,102
1,Passengers,43 KENNEDY,2024,16315,90
1,Passengers,44 KIPLING SOUTH,2019,7529,
1,Passengers,44 KIPLING SOUTH,2020,4745,63
1,Passengers,44 KIPLING SOUTH,2021,5231,69
1,Passengers,44 KIPLING SOUTH,2022,6431,85
1,Passengers,44 KIPLING SOUTH,2023,7318,97
1,Passengers,44 KIPLING SOUTH,2024,8481,113
1,Passengers,45 KIPLING,2019,11875,
1,Passengers,45 KIPLING,2020,7451,63
1,Passengers,45 KIPLING,2021,8107,68
1,Passengers,45 KIPLING,2022,10974,92
1,Passengers,45 KIPLING,2023,11312,95
1,Passengers,45 KIPLING,2024,12007,101
1,Passengers,46 MARTINGROVE,2019,7376,
1,Passengers,46 MARTINGROVE,2020,4683,63
1,Passengers,46 MARTINGROVE,2021,5360,73
1,Passengers,46 MARTINGROVE,2022,5636,76
1,Passengers,46 MARTINGROVE,2023,6246,85
1,Passengers,46 MARTINGROVE,2024,7078,96
1,Passengers,47 LANSDOWNE,2019,14670,
1,Passengers,47 LANSDOWNE,2020,7649,52
1,Passengers,47 LANSDOWNE,2021,10224,70
1,Passengers,47 LANSDOWNE,2022,13276,90
1,Passengers,47 LANSDOWNE,2023,14594,99
1,Passengers,47 LANSDOWNE,2024,6597,45
1,Passengers,48 RATHBURN,2019,2057,
1,Passengers,48 RATHBURN,2020,677,33
1,Passengers,48 RATHBURN,2021,1032,50
1,Passengers,48 RATHBURN,2022,1332,65
1,Passengers,48 RATHBURN,2023,1654,80
1,Passengers,48 RATHBURN,2024,1725,84
2,Vehicle Hours,7 BATHURST,2019,385,
2,Vehicle Hours,7 BATHURST,2020,371,96
2,Vehicle Hours,7 BATHURST,2021,293,76
2,Vehicle Hours,7 BATHURST,2022,284,74
2,Vehicle Hours,7 BATHURST,2023,287,75
2,Vehicle Hours,7 BATHURST,2024,330,86
2,Vehicle Hours,8 BROADVIEW,2019,20,
2,Vehicle Hours,8 BROADVIEW,2020,20,100
2,Vehicle Hours,8 BROADVIEW,2021,20,100
2,Vehicle Hours,8 BROADVIEW,2022,20,100
2,Vehicle Hours,8 BROADVIEW,2023,65,325
2,Vehicle Hours,8 BROADVIEW,2024,78,390
2,Vehicle Hours,9 BELLAMY,2019,81,
2,Vehicle Hours,9 BELLAMY,2020,73,90
2,Vehicle Hours,9 BELLAMY,2021,73,90
2,Vehicle Hours,9 BELLAMY,2022,79,98
2,Vehicle Hours,9 BELLAMY,2023,81,100
2,Vehicle Hours,9 BELLAMY,2024,81,100
2,Vehicle Hours,10 VAN HORNE,2019,22,
2,Vehicle Hours,10 VAN HORNE,2020,13,59
2,Vehicle Hours,10 VAN HORNE,2021,9,41
2,Vehicle Hours,10 VAN HORNE,2022,9,41
2,Vehicle Hours,10 VAN HORNE,2023,10,45
2,Vehicle Hours,10 VAN HORNE,2024,10,45
2,Vehicle Hours,11 BAYVIEW,2019,195,
2,Vehicle Hours,11 BAYVIEW,2020,175,90
2,Vehicle Hours,11 BAYVIEW,2021,171,88
2,Vehicle Hours,11 BAYVIEW,2022,172,88
2,Vehicle Hours,11 BAYVIEW,2023,172,88
2,Vehicle Hours,11 BAYVIEW,2024,206,106
2,Vehicle Hours,12 KINGSTON RD.,2019,185,
2,Vehicle Hours,12 KINGSTON RD.,2020,175,95
2,Vehicle Hours,12 KINGSTON RD.,2021,152,82
2,Vehicle Hours,12 KINGSTON RD.,2022,186,101
2,Vehicle Hours,12 KINGSTON RD.,2023,186,101
2,Vehicle Hours,12 KINGSTON RD.,2024,172,93
2,Vehicle Hours,5/13 AVENUE RD.,2019,47,
2,Vehicle Hours,5/13 AVENUE RD.,2020,37,79
2,Vehicle Hours,5/13 AVENUE RD.,2021,37,79
2,Vehicle Hours,5/13 AVENUE RD.,2022,39,83
2,Vehicle Hours,5/13 AVENUE RD.,2023,39,83
2,Vehicle Hours,5/13 AVENUE RD.,2024,49,104
2,Vehicle Hours,14 GLENCAIRN,2019,108,
2,Vehicle Hours,14 GLENCAIRN,2020,40,37
2,Vehicle Hours,14 GLENCAIRN,2021,48,44
2,Vehicle Hours,14 GLENCAIRN,2022,48,44
2,Vehicle Hours,14 GLENCAIRN,2023,49,45
2,Vehicle Hours,14 GLENCAIRN,2024,52,48
2,Vehicle Hours,15 EVANS,2019,67,
2,Vehicle Hours,15 EVANS,2020,65,97
2,Vehicle Hours,15 EVANS,2021,72,107
2,Vehicle Hours,15 EVANS,2022,72,107
2,Vehicle Hours,15 EVANS,2023,54,81
2,Vehicle Hours,15 EVANS,2024,67,100
2,Vehicle Hours,16 MCCOWAN,2019,129,
2,Vehicle Hours,16 MCCOWAN,2020,129,100
2,Vehicle Hours,16 MCCOWAN,2021,122,95
2,Vehicle Hours,16 MCCOWAN,2022,124,96
2,Vehicle Hours,16 MCCOWAN,2023,124,96
2,Vehicle Hours,16 MCCOWAN,2024,135,105
2,Vehicle Hours,17 BIRCHMOUNT,2019,176,
2,Vehicle Hours,17 BIRCHMOUNT,2020,164,93
2,Vehicle Hours,17 BIRCHMOUNT,2021,159,90
2,Vehicle Hours,17 BIRCHMOUNT,2022,157,89
2,Vehicle Hours,17 BIRCHMOUNT,2023,166,94
2,Vehicle Hours,17 BIRCHMOUNT,2024,163,93
2,Vehicle Hours,6/19 BAY,2019,187,
2,Vehicle Hours,6/19 BAY,2020,106,57
2,Vehicle Hours,6/19 BAY,2021,97,52
2,Vehicle Hours,6/19 BAY,2022,87,47
2,Vehicle Hours,6/19 BAY,2023,92,49
2,Vehicle Hours,6/19 BAY,2024,61,33
2,Vehicle Hours,20 CLIFFSIDE,2019,96,
2,Vehicle Hours,20 CLIFFSIDE,2020,74,77
