Page,Metric,Route,2019,2020,2021,2022,2023,2024,Recovery_2020_pct,Recovery_2021_pct,Recovery_2022_pct,Recovery_2023_pct,Recovery_2024_pct
22,Passengers,168 SYMINGTON,7101,2318,3149,4646,4963,4757,33,44,65,70,67
22,Passengers,169 HUNTINGWOOD,1937,995,1051,1342,1554,1716,51,54,69,80,89
22,Passengers,171 MOUNT DENNIS,504,262,272,325,388,434,52,54,64,77,86
22,Passengers,176 MIMICO GO,157,,,50,126,0,0,0,32,80,0
22,Passengers,189 STOCKYARDS,1023,819,1161,1084,1376,1473,80,113,106,135,144
22,Passengers,900 AIRPORT EXPRESS,3829,993,2410,3773,3875,4438,26,63,99,101,116
22,Passengers,902 MARKHAM RD EXPRESS,7797,,4389,7036,10190,8111,0,56,90,131,104
22,Passengers,903 KENNEDY STN-SCARBOROUGH EXPRESS,617,,,,6786,6655,,,,1100,1079
22,Passengers,904 SHEPPARD-KENNEDY EXPRESS,,,,,,7426,,,,,
22,Passengers,905 SCARBOROUGH EAST EXPRESS,9397,3402,6090,9263,6490,6703,36,65,99,69,71
22,Passengers,913 PROGRESS EXPRESS,2286,,266,,,,,12,,,
22,Passengers,924 VICTORIA PARK EXPRESS,6472,,3663,4955,4856,5235,0,57,77,75,81
22,Passengers,925 DON MILLS EXPRESS,16624,,9074,11949,12974,12260,0,55,72,78,74
22,Passengers,927 HIGHWAY 27 EXPRESS,14814,5794,7418,11876,12825,14082,39,50,80,87,95
22,Passengers,929 DUFFERIN EXPRESS,15722,,13238,17077,19361,19292,0,84,109,123,123
22,Passengers,935 JANE EXPRESS,13749,,7965,10645,10034,11644,0,58,77,73,85
22,Passengers,937 ISLINGTON EXPRESS,3007,,1899,2847,2855,2969,0,63,95,95,99
29,Passengers,938 HIGHLAND CREEK EXPRESS,,,,,963,800,,,,,
29,Passengers,939 FINCH EXPRESS,39599,,14062,21101,27674,25461,0,36,53,70,64
29,Passengers,941 KEELE EXPRESS,3499,,2955,5215,3423,3801,0,84,149,98,109
29,Passengers,944 KIPLING SOUTH EXPRESS,3130,,1895,3034,3227,2912,0,61,97,103,93
29,Passengers,945 KIPLING EXPRESS,5596,,4004,4709,6134,5550,0,72,84,110,99
29,Passengers,952 LAWRENCE WEST EXPRESS,6153,,4432,5690,5825,5285,0,72,92,95,86
29,Passengers,953 STEELES EAST EXPRESS,5347,,2918,4121,3553,2951,0,55,77,66,55
29,Passengers,954 LAWRENCE EAST EXPRESS,3106,,1849,2362,3686,3282,0,60,76,119,106
29,Passengers,960 STEELES WEST EXPRESS,3034,,9047,13210,15926,16054,0,298,435,525,529
29,Passengers,968 WARDEN EXPRESS,,,,2034,2568,2057,,,,,
29,Passengers,984 SHEPPARD WEST EXPRESS,9005,,5139,6849,6328,6129,0,57,76,70,68
29,Passengers,985 SHEPPARD EAST EXPRESS,13025,,8429,11258,13998,4293,0,65,86,107,33
29,Passengers,986 SCARBOROUGH EXPRESS,3497,1150,1699,2505,2527,2489,33,49,72,72,71
29,Passengers,989 WESTON EXPRESS,3627,,2160,2956,3390,3708,0,60,81,93,102
29,Passengers,995 YORK MILLS EXPRESS,9191,,4777,7164,6144,8442,0,52,78,67,92
29,Passengers,996 WILSON EXPRESS,11452,,6736,10163,16456,16434,0,59,89,144,144
29,Passengers,501 QUEEN,62450,22610,28650,46116,32322,29008,36,46,74,52,46
29,Passengers,501B QUEEN BUS,,,,,,,,,,,
29,Passengers,503 KINGSTON RD.TRIPPER,8683,4370,7920,9417,14405,13967,50,91,108,166,161
29,Passengers,504 KING,90560,26770,44390,51512,54360,60961,30,49,57,60,67
29,Passengers,504B KING BUS,,,,,,,,,,,
29,Passengers,505 DUNDAS,30020,13230,18000,23356,32309,28369,44,60,78,108,95
29,Passengers,506 CARLTON,42300,17940,27430,26467,29130,28883,42,65,63,69,68
