Page,Metric,Route,2019,2020,2021,2022,2023,2024,Recovery_2020_pct,Recovery_2021_pct,Recovery_2022_pct,Recovery_2023_pct,Recovery_2024_pct
10,Vehicle Kilometres,72 PAPE,1987,1971,2121,2041,1865,2709,99,107,103,94,136
10,Vehicle Kilometres,73 ROYAL YORK,3419,3813,3275,3865,3018,3408,112,96,113,88,100
10,Vehicle Kilometres,74 MOUNT PLEASANT,915,771,614,843,793,844,84,67,92,87,92
10,Vehicle Kilometres,75 SHERBOURNE,1630,1283,1830,1396,1396,1373,79,112,86,86,84
10,Vehicle Kilometres,76 ROYAL YORK SOUTH,2172,1866,1564,1658,1940,2087,86,72,76,89,96
10,Vehicle Kilometres,77 SWANSEA,1137,631,481,431,453,560,55,42,38,40,49
10,Vehicle Kilometres,78 ST. ANDREWS,595,595,405,538,522,514,100,68,90,88,86
10,Vehicle Kilometres,79 SCARLETT ROAD,3160,2697,2568,2574,2247,2141,85,81,81,71,68
10,Vehicle Kilometres,80 QUEENSWAY,1110,1547,1111,1111,1406,1894,139,100,100,127,171
10,Vehicle Kilometres,81 THORNCLIFFE PARK,1282,1126,1275,1260,1260,0,88,99,98,98,0
10,Vehicle Kilometres,82 ROSEDALE,418,418,429,338,338,287,100,103,81,81,69
10,Vehicle Kilometres,83 JONES,830,760,783,802,661,713,92,94,97,80,86
10,Vehicle Kilometres,84 SHEPPARD WEST,5350,5065,5414,5621,5085,5079,95,101,105,95,95
10,Vehicle Kilometres,85 SHEPPARD EAST,7019,7885,7129,7163,5873,5869,112,102,102,84,84
10,Vehicle Kilometres,86 SCARBOROUGH,5427,5451,5345,5263,4481,5031,100,98,97,83,93
10,Vehicle Kilometres,87 COSBURN,2393,1916,1877,1975,1866,1910,80,78,83,78,80
10,Vehicle Kilometres,88 SOUTH LEASIDE,1823,1639,1546,1707,1439,1706,90,85,94,79,94
10,Vehicle Kilometres,89 WESTON ROAD,2824,3280,2791,2951,2905,3359,116,99,104,103,119
10,Vehicle Kilometres,90 VAUGHAN,1065,956,956,909,1367,846,90,90,85,128,79
17,Vehicle Kilometres,91 WOODBINE,1776,1778,1741,1730,1727,1591,100,98,97,97,90
17,Vehicle Kilometres,92 WOODBINE SOUTH,687,687,687,703,692,621,100,100,102,101,90
17,Vehicle Kilometres,93 PARKVIEW HILLS,350,344,344,316,316,322,98,98,90,90,92
17,Vehicle Kilometres,94 WELLESLEY,1527,1436,1404,1335,1257,1144,94,92,87,82,75
17,Vehicle Kilometres,95 YORK MILLS,7807,10177,7795,7927,6359,5952,130,100,102,81,76
17,Vehicle Kilometres,96 WILSON,5451,5451,6068,6305,6383,7319,100,111,116,117,134
17,Vehicle Kilometres,97 YONGE,2045,2046,1592,1428,1757,1906,100,78,70,86,93
17,Vehicle Kilometres,98 WILLOWDALE-SENLAC,1620,1450,1448,1265,1267,1436,90,89,78,78,89
17,Vehicle Kilometres,99 ARROW ROAD,151,151,202,198,453,979,100,134,131,300,648
17,Vehicle Kilometres,100 FLEMINGDON PARK,4148,3631,3628,3698,3735,3789,88,87,89,90,91
17,Vehicle Kilometres,101 PARC DOWNSVIEW PARK,524,345,336,336,287,287,66,64,64,55,55
17,Vehicle Kilometres,102 MARKHAM ROAD,6725,6998,7260,7979,7234,8123,104,108,119,108,121
17,Vehicle Kilometres,104 FAYWOOD,1102,1028,983,997,846,676,93,89,90,77,61
17,Vehicle Kilometres,105 DUFFERIN NORTH,883,719,879,898,893,980,81,100,102,101,111
17,Vehicle Kilometres,106 SENTINEL,1816,1736,1515,1518,1552,1783,96,83,84,85,98
17,Vehicle Kilometres,107 YORK UNIVERSITY HEIGHTS,938,824,1438,1467,1465,1465,88,153,156,156,156
17,Vehicle Kilometres,108 DRIFTWOOD,3184,3085,2914,2934,2692,2729,97,92,92,85,86
17,Vehicle Kilometres,109 RANEE,998,676,936,887,888,830,68,94,89,89,83
17,Vehicle Kilometres,110 ISLINGTON SOUTH,2630,2520,2341,2585,2202,2293,96,89,98,84,87
17,Vehicle Kilometres,111 EAST MALL,1862,1541,1541,1645,1532,2089,83,83,88,82,112
17,Vehicle Kilometres,112 WEST MALL,4088,2995,2947,3064,2837,3467,73,72,75,69,85
17,Vehicle Kilometres,113 DANFORTH RD.,1154,1291,1310,1354,1024,1081,112,114,117,89,94
17,Vehicle Kilometres,114 QUEENS QUAY EAST,,,,,,1696,,,,,
17,Vehicle Kilometres,115 SILVER HILLS,607,607,669,657,632,624,100,110,108,104,103
17,Vehicle Kilometres,116 MORNINGSIDE,7932,6671,5957,5999,5625,5576,84,75,76,71,70
17,Vehicle Kilometres,117 ALNESS-CHESSWOOD,1142,1032,,,,,90,,,,
17,Vehicle Kilometres,117 BIRCHMOUNT SOUTH,,,,,,963,,,,,
17,Vehicle Kilometres,118 THISTLE DOWN,1315,1022,999,1155,1155,1212,78,76,88,88,92
17,Vehicle Kilometres,119 TORBARRIE,457,436,589,591,591,814,95,129,129,129,178
17,Vehicle Kilometres,120 CALVINGTON,938,812,812,824,737,737,87,87,88,79,79
17,Vehicle Kilometres,121 ESPLANADE-RIVER,701,536,731,738,737,737,76,104,105,105,105
17,Vehicle Kilometres,122 GRAYDON HALL,1689,1452,1431,1473,1200,1953,86,85,87,71,116
17,Vehicle Kilometres,123 SHERWAY,2411,2514,2529,2773,2663,2963,104,105,115,110,123
17,Vehicle Kilometres,124 SUNNYBROOK,1136,767,877,780,1214,0,68,77,69,107,0
17,Vehicle Kilometres,125 DREWRY,800,777,777,785,793,943,97,97,98,99,118
17,Vehicle Kilometres,126 CHRISTIE,374,351,426,438,418,360,94,114,117,112,96
17,Vehicle Kilometres,127 DAVENPORT,727,690,710,710,578,683,95,98,98,80,94
17,Vehicle Kilometres,128 STANLEY GREENE,,,,,,337,,,,,
17,Vehicle Kilometres,129 MCCOWAN NORTH,4270,4718,3187,2266,5564,5139,110,75,53,130,120
17,Vehicle Kilometres,130 MIDDLEFIELD,1044,1222,1045,1050,901,839,117,100,101,86,80
17,Vehicle Kilometres,131 NUGGET,2680,2103,2103,2088,3054,2841,78,78,78,114,106
24,Vehicle Kilometres,132 MILNER,1281,1283,1283,1290,1089,962,100,100,101,85,75
24,Vehicle Kilometres,133 NEILSON,3487,3344,3183,3189,4032,3499,96,91,91,116,100
24,Vehicle Kilometres,134 PROGRESS,1421,2317,1396,2676,1753,1754,163,98,188,123,123
24,Vehicle Kilometres,135 GERRARD,532,532,624,627,677,677,100,117,118,127,127
24,Vehicle Kilometres,141 DOWNTOWN/MT.PLEASANT EXP.,194,,,,,,,,,,
24,Vehicle Kilometres,142 DOWNTOWN/AVE.RD.EXP.,278,,,,,,,,,,
24,Vehicle Kilometres,143 DOWNTOWN\BEACH EXP.,430,,,,,,,,,,
24,Vehicle Kilometres,144 DOWNTOWN/DON VALLEY EXP.,939,,,,,,,,,,
24,Vehicle Kilometres,145 DOWNTOWN/HUMBER BAY EXP.,373,,,,,,,,,,
24,Vehicle Kilometres,154 CURRAN HALL,,,,,,1596,,,,,
24,Vehicle Kilometres,160 BATHURST NORTH,1113,1036,1066,703,1100,1100,93,96,63,99,99
24,Vehicle Kilometres,161 ROGERS ROAD,1558,1012,1071,1537,1348,1236,65,69,99,87,79
24,Vehicle Kilometres,162 DONWAY-LAWRENCE,812,680,692,695,867,867,84,85,86,107,107
24,Vehicle Kilometres,163 OAKWOOD,,1415,,,,,,,,,
24,Vehicle Kilometres,165 WESTON RD. NORTH,5843,5846,6193,6284,6316,7578,100,106,108,108,130
24,Vehicle Kilometres,167 PHARMACY NORTH,768,768,734,734,733,751,100,96,96,95,98
24,Vehicle Kilometres,168 SYMINGTON,1429,884,884,1645,1189,998,62,62,115,83,70
24,Vehicle Kilometres,169 HUNTINGWOOD,1320,1312,1110,1123,1087,1087,99,84,85,82,82
24,Vehicle Kilometres,171 MOUNT DENNIS,430,413,413,430,430,430,96,96,100,100,100
24,Vehicle Kilometres,176 MIMICO GO,140,,,,,,,,,,
24,Vehicle Kilometres,189 STOCKYARDS,693,609,609,569,604,604,88,88,82,87,87
24,Vehicle Kilometres,900 AIRPORT EXPRESS,3976,3021,4129,4245,3879,4241,76,104,107,98,107
24,Vehicle Kilometres,902 MARKHAM RD EXPRESS,1999,,2048,2108,3039,2835,0,102,105,152,142
24,Vehicle Kilometres,903 KENNEDY STN-SCARBOROUGH EXPRESS,265,,,,2421,2482,,,,914,937
24,Vehicle Kilometres,904 SHEPPARD-KENNEDY EXPRESS,,,,,,2878,,,,,
24,Vehicle Kilometres,905 SCARBOROUGH EAST EXPRESS,2504,2603,3236,3331,2204,2721,104,129,133,88,109
24,Vehicle Kilometres,913 PROGRESS EXPRESS,1143,,554,,,,0,48,,,
24,Vehicle Kilometres,924 VICTORIA PARK EXPRESS,2013,,1992,2002,1640,1963,0,99,99,81,98
24,Vehicle Kilometres,925 DON MILLS EXPRESS,3665,,3672,3676,3565,5414,0,100,100,97,148
24,Vehicle Kilometres,927 HIGHWAY 27 EXPRESS,8943,7028,7937,7951,6850,8724,79,89,89,77,98
24,Vehicle Kilometres,929 DUFFERIN EXPRESS,2789,,3276,3492,3866,3335,0,117,125,139,120
24,Vehicle Kilometres,935 JANE EXPRESS,3513,,2970,2976,2379,3908,0,85,85,68,111
24,Vehicle Kilometres,937 ISLINGTON EXPRESS,1478,,1380,1362,1158,1366,0,93,92,78,92
31,Vehicle Kilometres,938 HIGHLAND CREEK EXPRESS,,,,,487,476,,,,,
31,Vehicle Kilometres,939 FINCH EXPRESS,12293,,9041,8510,10073,10658,0,74,69,82,87
31,Vehicle Kilometres,941 KEELE EXPRESS,902,,1291,1693,1045,1249,0,143,188,116,138
31,Vehicle Kilometres,944 KIPLING SOUTH EXPRESS,1142,,1142,1081,854,876,0,100,95,75,77
31,Vehicle Kilometres,945 KIPLING EXPRESS,1898,,2069,2183,2209,1645,0,109,115,116,87
31,Vehicle Kilometres,952 LAWRENCE WEST EXPRESS,2137,,2279,2403,2628,2634,0,107,112,123,123
31,Vehicle Kilometres,953 STEELES EAST EXPRESS,3225,,3040,3045,2105,838,0,94,94,65,26
31,Vehicle Kilometres,954 LAWRENCE EAST EXPRESS,1375,,1348,1348,1517,1642,0,98,98,110,119
31,Vehicle Kilometres,960 STEELES WEST EXPRESS,867,,6181,5323,6450,6460,0,713,614,744,745
31,Vehicle Kilometres,968 WARDEN EXPRESS,,,,1182,1183,1023,,,,,
31,Vehicle Kilometres,984 SHEPPARD WEST EXPRESS,1798,,1818,1770,1683,1433,0,101,98,94,80
31,Vehicle Kilometres,985 SHEPPARD EAST EXPRESS,3346,,3267,3249,4529,1185,0,98,97,135,35
31,Vehicle Kilometres,986 SCARBOROUGH EXPRESS,1309,2091,1763,1730,1551,1550,160,135,132,118,118
31,Vehicle Kilometres,989 WESTON EXPRESS,1363,,1533,1601,1510,1526,0,112,117,111,112
31,Vehicle Kilometres,995 YORK MILLS EXPRESS,2489,,2565,2547,1815,4162,0,103,102,73,167
31,Vehicle Kilometres,996 WILSON EXPRESS,2982,,2994,4336,5875,6544,0,100,145,197,219
31,Vehicle Kilometres,501 QUEEN,8932,7165,13143,9904,5061,5505,80,147,111,57,62
31,Vehicle Kilometres,501B QUEEN BUS,,,,,3090,,,,,,
31,Vehicle Kilometres,503 KINGSTON RD.TRIPPER,2299,1684,2000,1941,2675,2724,73,87,84,116,118
31,Vehicle Kilometres,504 KING,8090,3416,10223,9477,5523,5930,42,126,117,68,73
31,Vehicle Kilometres,504B KING BUS,,,,,1754,,,,,,
31,Vehicle Kilometres,505 DUNDAS,6558,3664,4025,3221,3432,3023,56,61,49,52,46
31,Vehicle Kilometres,506 CARLTON,5458,6319,6912,6834,3713,4144,116,127,125,68,76
31,Vehicle Kilometres,507 LONG BRANCH,,,,,1696,2195,,,,,
31,Vehicle Kilometres,508 LAKESHORE,395,,,,398,433,0,0,0,101,110
31,Vehicle Kilometres,509 HARBOURFRONT,1417,1425,1417,1444,1205,689,101,100,102,85,49
31,Vehicle Kilometres,510 SPADINA,2457,2457,2408,2405,2295,4615,100,98,98,93,188
31,Vehicle Kilometres,511 BATHURST,2296,4000,1878,1885,1547,2653,174,82,82,67,116
31,Vehicle Kilometres,512 ST.CLAIR,3952,3476,2936,3475,4822,2547,88,74,88,122,64
31,Vehicle Kilometres,All Local Bus Routes,344832,337089,309878,316204,304480,337144,98,90,92,88,98
31,Vehicle Kilometres,All Express Bus Routes,71628,14743,71525,73144,76515,83768,21,100,102,107,117
31,Vehicle Kilometres,All Streetcar Routes,41854,33606,44942,40586,37211,34458,80,107,97,89,82
31,Vehicle Kilometres,All Bus Routes,416460,351832,381403,389348,380995,420912,84,92,93,91,101
31,Vehicle Kilometres,All Surface Routes,458314,385438,426345,429934,418206,455370,84,93,94,91,99
