Page,Metric,Route,2019,2020,2021,2022,2023,2024,Recovery_2020_pct,Recovery_2021_pct,Recovery_2022_pct,Recovery_2023_pct,Recovery_2024_pct
12,Kilometres/Vehicle Hour,60 STEELES WEST,16.2,18.4,18.7,17.5,20.1,17.4,113,115,108,124,107
12,Kilometres/Vehicle Hour,61 AVENUE RD. NORTH,13.2,13.6,14.2,13.7,12.5,14.4,103,108,104,95,110
12,Kilometres/Vehicle Hour,62 MORTIMER,17.5,17.7,17.7,15.8,15.8,14.7,101,101,90,91,84
12,Kilometres/Vehicle Hour,63 OSSINGTON,12.7,12.4,13.1,12.8,12.3,12.7,98,103,101,97,101
12,Kilometres/Vehicle Hour,64 MAIN,13.2,14.1,13.0,11.6,11.7,12.3,106,99,88,88,93
12,Kilometres/Vehicle Hour,65 PARLIAMENT,11.0,11.1,11.3,11.0,10.4,11.2,101,103,100,94,102
12,Kilometres/Vehicle Hour,66 PRINCE EDWARD,18.2,18.7,18.5,18.7,16.0,15.7,103,102,103,88,86
12,Kilometres/Vehicle Hour,67 PHARMACY,18.4,18.4,18.4,18.4,17.4,17.3,100,100,100,95,94
12,Kilometres/Vehicle Hour,68 WARDEN,18.6,18.7,11.9,21.9,18.4,18.9,100,64,118,99,101
12,Kilometres/Vehicle Hour,69 WARDEN SOUTH,18.8,18.8,18.4,18.6,18.8,34.7,100,98,99,100,184
12,Kilometres/Vehicle Hour,70 O'CONNOR,16.8,16.8,13.9,14.1,14.3,4.4,100,83,84,85,26
12,Kilometres/Vehicle Hour,71 RUNNYMEDE,14.0,15.5,16.2,16.4,14.9,14.7,111,116,117,106,105
12,Kilometres/Vehicle Hour,72 PAPE,14.2,14.4,14.7,14.2,13.4,12.9,101,104,100,95,91
12,Kilometres/Vehicle Hour,73 ROYAL YORK,21.1,21.7,21.7,19.5,19.7,20.2,103,103,92,93,96
12,Kilometres/Vehicle Hour,74 MOUNT PLEASANT,13.7,14.5,15.0,15.1,14.2,15.1,107,110,110,104,110
12,Kilometres/Vehicle Hour,75 SHERBOURNE,11.2,13.4,10.5,11.0,11.0,9.9,119,94,98,98,88
12,Kilometres/Vehicle Hour,76 ROYAL YORK SOUTH,17.7,18.5,18.8,16.9,16.6,15.9,105,107,96,94,90
12,Kilometres/Vehicle Hour,77 SWANSEA,14.0,14.3,16.0,14.4,13.3,12.7,102,114,102,95,91
12,Kilometres/Vehicle Hour,78 ST. ANDREWS,19.8,19.8,20.3,19.9,18.6,17.7,100,102,100,94,89
12,Kilometres/Vehicle Hour,79 SCARLETT ROAD,17.2,19.3,19.2,19.2,17.7,17.5,112,112,112,103,102
12,Kilometres/Vehicle Hour,80 QUEENSWAY,19.1,26.7,19.2,19.2,18.7,16.5,139,100,100,98,86
12,Kilometres/Vehicle Hour,81 THORNCLIFFE PARK,17.8,16.3,18.0,17.5,17.5,,92,101,98,98,0
12,Kilometres/Vehicle Hour,82 ROSEDALE,18.2,18.2,18.7,17.8,17.8,15.1,100,103,98,98,83
12,Kilometres/Vehicle Hour,83 JONES,13.4,13.3,13.7,13.6,11.2,12.5,100,103,102,84,93
12,Kilometres/Vehicle Hour,84 SHEPPARD WEST,19.2,18.2,18.9,19.1,18.8,18.7,95,98,99,98,97
12,Kilometres/Vehicle Hour,85 SHEPPARD EAST,18.4,18.6,19.6,19.6,17.4,18.0,101,106,106,94,98
12,Kilometres/Vehicle Hour,86 SCARBOROUGH,20.8,23.7,23.3,23.3,18.8,19.1,114,112,112,91,92
12,Kilometres/Vehicle Hour,87 COSBURN,14.8,15.3,15.4,15.1,15.4,14.6,104,104,102,104,99
12,Kilometres/Vehicle Hour,88 SOUTH LEASIDE,15.2,15.8,15.8,16.4,13.8,16.4,104,104,108,91,108
12,Kilometres/Vehicle Hour,89 WESTON ROAD,13.8,15.3,14.4,14.8,14.6,14.9,110,104,107,105,107
12,Kilometres/Vehicle Hour,90 VAUGHAN,13.0,12.9,12.9,13.0,11.3,13.0,99,99,100,87,100
