Page,Metric,Route,2019,2020,2021,2022,2023,2024,Recovery_2020_pct,Recovery_2021_pct,Recovery_2022_pct,Recovery_2023_pct,Recovery_2024_pct
13,AM Peak Vehicles,78 ST. ANDREWS,3,3,1,2,2,4,100,33,67,67,133
13,AM Peak Vehicles,79 SCARLETT ROAD,15,11,12,12,12,10,73,80,80,80,67
13,AM Peak Vehicles,80 QUEENSWAY,3,3,3,3,4,8,100,100,100,133,267
13,AM Peak Vehicles,81 THORNCLIFFE PARK,6,5,6,5,5,0,83,100,83,83,0
13,AM Peak Vehicles,82 ROSEDALE,1,1,1,1,1,1,100,100,100,100,100
13,AM Peak Vehicles,83 JONES,3,3,3,3,3,3,100,100,100,100,100
13,AM Peak Vehicles,84 SHEPPARD WEST,20,20,20,22,19,19,100,100,110,95,95
13,AM Peak Vehicles,85 SHEPPARD EAST,19,20,18,18,17,17,105,95,95,89,89
13,AM Peak Vehicles,86 SCARBOROUGH,19,14,13,13,14,14,74,68,68,74,74
13,AM Peak Vehicles,87 COSBURN,11,6,6,7,7,7,55,55,64,64,64
13,AM Peak Vehicles,88 SOUTH LEASIDE,9,9,8,8,8,8,100,89,89,89,89
13,AM Peak Vehicles,89 WESTON ROAD,14,13,9,10,10,14,93,64,71,71,100
13,AM Peak Vehicles,90 VAUGHAN,6,4,4,4,7,4,67,67,67,117,67
20,AM Peak Vehicles,91 WOODBINE,7,7,7,7,7,6,100,100,100,100,86
20,AM Peak Vehicles,92 WOODBINE SOUTH,3,3,3,3,3,3,100,100,100,100,100
20,AM Peak Vehicles,93 PARKVIEW HILLS,1,1,1,1,1,1,100,100,100,100,100
20,AM Peak Vehicles,94 WELLESLEY,6,6,5,5,5,5,100,83,83,83,83
20,AM Peak Vehicles,95 YORK MILLS,28,34,29,29,14,15,121,104,104,50,54
20,AM Peak Vehicles,96 WILSON,16,16,18,18,17,17,100,113,113,106,106
20,AM Peak Vehicles,97 YONGE,8,8,5,5,8,8,100,63,63,100,100
20,AM Peak Vehicles,98 WILLOWDALE-SENLAC,5,4,4,4,4,4,80,80,80,80,80
20,AM Peak Vehicles,99 ARROW ROAD,0,0,0,0,4,4,,,,,
20,AM Peak Vehicles,100 FLEMINGDON PARK,20,11,11,14,14,14,55,55,70,70,70
20,AM Peak Vehicles,101 PARC DOWNSVIEW PARK,2,1,1,1,1,1,50,50,50,50,50
20,AM Peak Vehicles,102 MARKHAM ROAD,18,18,18,23,24,25,100,100,128,133,139
20,AM Peak Vehicles,104 FAYWOOD,4,3,3,3,3,2,75,75,75,75,50
20,AM Peak Vehicles,105 DUFFERIN NORTH,3,2,3,3,3,3,67,100,100,100,100
20,AM Peak Vehicles,106 SENTINEL,8,7,6,6,6,8,88,75,75,75,100
20,AM Peak Vehicles,107 YORK UNIVERSITY HEIGHTS,3,2,6,6,6,6,67,200,200,200,200
20,AM Peak Vehicles,108 DRIFTWOOD,11,11,9,9,8,8,100,82,82,73,73
20,AM Peak Vehicles,109 RANEE,3,2,3,3,3,3,67,100,100,100,100
20,AM Peak Vehicles,110 ISLINGTON SOUTH,9,8,8,9,9,9,89,89,100,100,100
20,AM Peak Vehicles,111 EAST MALL,6,5,5,5,5,9,83,83,83,83,150
20,AM Peak Vehicles,112 WEST MALL,11,11,10,10,9,9,100,91,91,82,82
20,AM Peak Vehicles,113 DANFORTH RD.,5,5,4,4,4,4,100,80,80,80,80
20,AM Peak Vehicles,114 QUEENS QUAY EAST,,,,,,7,,,,,
20,AM Peak Vehicles,115 SILVER HILLS,2,2,2,2,2,3,100,100,100,100,150
20,AM Peak Vehicles,116 MORNINGSIDE,25,18,16,16,16,18,72,64,64,64,72
20,AM Peak Vehicles,117 ALNESS-CHESSWOOD,6,5,,,,,83,,,,
20,AM Peak Vehicles,117 BIRCHMOUNT SOUTH,,,,,,4,,,,,
20,AM Peak Vehicles,118 THISTLE DOWN,4,2,2,4,4,4,50,50,100,100,100
20,AM Peak Vehicles,119 TORBARRIE,3,3,3,3,3,5,100,100,100,100,167
20,AM Peak Vehicles,120 CALVINGTON,3,2,2,2,2,2,67,67,67,67,67
20,AM Peak Vehicles,121 ESPLANADE-RIVER,5,3,4,4,4,4,60,80,80,80,80
20,AM Peak Vehicles,122 GRAYDON HALL,7,5,4,4,4,6,71,57,57,57,86
20,AM Peak Vehicles,123 SHERWAY,8,8,8,12,12,9,100,100,150,150,113
20,AM Peak Vehicles,124 SUNNYBROOK,6,5,3,4,7,0,83,50,67,117,0
20,AM Peak Vehicles,125 DREWRY,5,4,4,4,4,4,80,80,80,80,80
20,AM Peak Vehicles,126 CHRISTIE,2,2,2,2,3,2,100,100,100,150,100
20,AM Peak Vehicles,127 DAVENPORT,4,2,2,2,2,3,50,50,50,50,75
20,AM Peak Vehicles,128 STANLEY GREENE,,,,,,2,,,,,
20,AM Peak Vehicles,129 MCCOWAN NORTH,12,13,10,10,16,14,108,83,83,133,117
20,AM Peak Vehicles,130 MIDDLEFIELD,3,3,3,3,3,3,100,100,100,100,100
20,AM Peak Vehicles,131 NUGGET,11,6,6,7,10,9,55,55,64,91,82
27,AM Peak Vehicles,132 MILNER,4,4,4,4,3,3,100,100,100,75,75
27,AM Peak Vehicles,133 NEILSON,7,7,7,7,10,8,100,100,100,143,114
27,AM Peak Vehicles,134 PROGRESS,11,10,7,11,5,5,91,64,100,45,45
27,AM Peak Vehicles,135 GERRARD,2,2,2,2,2,2,100,100,100,100,100
27,AM Peak Vehicles,141 DOWNTOWN/MT.PLEASANT EXP.,3,,,,,,,,,,
27,AM Peak Vehicles,142 DOWNTOWN/AVE.RD.EXP.,3,,,,,,,,,,
27,AM Peak Vehicles,143 DOWNTOWN\BEACH EXP.,4,,,,,,,,,,
27,AM Peak Vehicles,144 DOWNTOWN/DON VALLEY EXP.,9,,,,,,,,,,
27,AM Peak Vehicles,145 DOWNTOWN/HUMBER BAY EXP.,3,,,,,,,,,,
