sample_rows,size_label,full_nodes,full_edges,giant_nodes,giant_edges,components,giant_fraction_pct,giant_density,giant_avg_degree
100000,100k rows,9406,9959,8820,9931,561,93.76993408462684,0.0001276747611771019,2.2519274376417235
250000,250k rows,9406,10263,8922,10235,459,94.8543482883266,0.0001285914485970541,2.2943286258686393
500000,500k rows,9406,10448,8990,10420,391,95.57729109079311,0.0001289426664229708,2.318131256952169
