sample_rows,size_label,algorithm,avg_runtime_s,std_runtime_s,avg_edges_evaluated,std_edges_evaluated,avg_path_cost,avg_hops,full_nodes,full_edges,giant_nodes,giant_edges,components,giant_fraction_pct,giant_density,giant_avg_degree
100000,100k rows,Dijkstra,0.004444541625161946,0.0020766372774169,5026.75,2334.1599743193024,11.021235901161132,118.625,9406,9959,8820,9931,561,93.76993408462684,0.0001276747611771019,2.2519274376417235
100000,100k rows,A*,0.007389041374608496,0.003359513075926984,5026.125,2334.0443402263927,11.021235901161132,118.625,9406,9959,8820,9931,561,93.76993408462684,0.0001276747611771019,2.2519274376417235
250000,250k rows,Dijkstra,0.006597526125460718,0.005728118201437723,4169.75,3508.3272265527667,3.924730863285704,83.5,9406,10263,8922,10235,459,94.8543482883266,0.0001285914485970541,2.2943286258686393
250000,250k rows,A*,0.01187699474985493,0.010335683150795713,4167.0,3507.030245500763,3.924730863285704,83.5,9406,10263,8922,10235,459,94.8543482883266,0.0001285914485970541,2.2943286258686393
500000,500k rows,Dijkstra,0.007352104125402548,0.0029534857619056575,5734.5,2757.9716148958873,2.0486603889771184,85.125,9406,10448,8990,10420,391,95.57729109079311,0.0001289426664229708,2.318131256952169
500000,500k rows,A*,0.01532657849975294,0.006856208537488537,5727.0,2759.094105991002,2.0486603889771184,85.125,9406,10448,8990,10420,391,95.57729109079311,0.0001289426664229708,2.318131256952169
