scenario,reason,affected_stops,affected_edges,algorithm,status,path_cost,hops,edges_evaluated,runtime_s,source_id,target_id
no_disruption,No disruption.,,,Dijkstra,path_found,2.26,85,7658,0.005962,2141,478
no_disruption,No disruption.,,,A*,path_found,4.91,99,3727,0.004523,2141,478
delays,Simulated service delay: edge weights near selected stops were increased by 4x.,Kennedy Station Drop-off Platform; Kennedy Station at Bus Bay 14 (Platform B); Eglinton Ave West at Duplex Ave; Eglinton Ave East at Kennedy Station; Raab Blvd at Hospital Rd West Side (K & L Wings),,Dijkstra,path_found,2.79,89,8999,0.009193,2141,478
delays,Simulated service delay: edge weights near selected stops were increased by 4x.,Kennedy Station Drop-off Platform; Kennedy Station at Bus Bay 14 (Platform B); Eglinton Ave West at Duplex Ave; Eglinton Ave East at Kennedy Station; Raab Blvd at Hospital Rd West Side (K & L Wings),,A*,path_found,5.07,99,3727,0.003985,2141,478
station_closure,Simulated station closure: selected stops were removed from the graph.,Kennedy Station Drop-off Platform,,Dijkstra,path_found,2.64,86,8929,0.009566,2141,478
station_closure,Simulated station closure: selected stops were removed from the graph.,Kennedy Station Drop-off Platform,,A*,path_found,5.68,141,6859,0.007145,2141,478
route_interruption,Simulated route interruption: selected connections were removed from the route.,,Eglinton Ave East at Sutherland Dr -> Eglinton Ave East at Laird Dr East Side; Eglinton Ave East at Laird Dr East Side -> Eglinton Ave East at Brentcliffe Rd; Eglinton Ave East at Brentcliffe Rd -> Eglinton Ave East at Leslie St; Eglinton Ave East at Leslie St -> Eglinton Ave East at Don Mills Rd,Dijkstra,path_found,2.71,145,8924,0.009785,2141,478
route_interruption,Simulated route interruption: selected connections were removed from the route.,,Eglinton Ave East at Sutherland Dr -> Eglinton Ave East at Laird Dr East Side; Eglinton Ave East at Laird Dr East Side -> Eglinton Ave East at Brentcliffe Rd; Eglinton Ave East at Brentcliffe Rd -> Eglinton Ave East at Leslie St; Eglinton Ave East at Leslie St -> Eglinton Ave East at Don Mills Rd,A*,path_found,4.91,99,3727,0.00408,2141,478
