stop_id,name,degree,in_degree,out_degree,pagerank,betweenness
9328,Eglinton Ave East at Wynford Dr,2,1,1,8.657477575313709e-05,0.01620344723705556
9329,Bathurst St at Olive Ave,3,1,2,0.00010616355728197626,0.005461282391950192
9330,Finch Ave East at Brimley Rd,4,2,2,0.000144858510435214,0.014311132342314485
9331,Islington Ave at Ambleside Ave,2,1,1,0.00016236843023554172,0.015396196653906138
9332,Bannatyne Dr at Silvergrove Rd,2,1,1,8.372641448707252e-05,0.0012313908974904296
9333,Weston Rd at Verobeach Blvd,2,1,1,0.000120172523669031,0.0019815307822405866
9334,Atkinson Ave at Campbell Ave,2,1,1,0.00011062853171393727,0.0010213738834538495
9335,Humber College Blvd at Highway 27 West Side,7,3,4,0.00038740155564398113,0.1351201674527374
9336,Yonge St at College St - College Station,2,1,1,0.0001075151282940304,0.005817192672483814
9337,Bayview Ave at Heathcote Ave,2,1,1,0.00011062853171393727,0.006207199064227988
9338,Ellesmere Rd at Claudius Gate,2,1,1,0.000114283649055101,0.00010261590812420247
9339,Sheppard Ave East at Meadowvale Rd East Side,3,2,1,8.676085099312193e-05,0.0016418545299872395
9340,Finch Ave East at Page Ave,2,1,1,0.00010269663911847426,0.0003078477243726074
9341,Brimley Rd at McNicoll Ave,2,1,1,7.518699131775336e-05,0.0
9342,Donlands Ave at Plains Rd,2,1,1,0.00011312763963796705,0.005207892100810008
9343,Keele St at Falstaff Ave South Side,4,2,2,0.00011408921825321899,0.007583614699759454
9344,Spadina Ave at Sussex Ave,2,1,1,0.0001120369418759369,0.001221820501914079
9345,Island Rd at Port Union Rd,3,1,2,0.0001050443985793157,0.0
9346,Dixon Rd at Riverview Heights West Side,2,1,1,6.883263946553695e-05,0.00010261590812420247
9347,Marlee Ave at Glencairn Ave,2,1,1,9.30138909117786e-05,0.0006592939174819226
9348,Denton Ave at Macey Ave,2,1,1,0.00011062853171393727,0.0076378066311343145
9349,St Clair Ave East at Birchmount Rd East Side,4,2,2,0.00021043049981890054,0.025219030400987545
9350,Park St at Kennedy Rd,2,1,1,0.00010286384653231356,0.001118419720078589
9351,Coxwell Ave at Robbins Ave,2,1,1,8.850915518705379e-05,0.0025085070182900896
9352,Wilson Ave at Dufferin St,10,2,8,0.0002153234565125489,0.1254282278701194
9353,Rangoon Rd at Hagersville Crt,2,1,1,0.00011254626125776045,0.0020459378987664825
9354,Lawrence Ave East at Brimley Rd West Side,2,1,1,0.00012785523663064798,0.00010261590812420247
9355,Cherry St at Unwin Ave,2,1,1,7.098609067474728e-05,0.00041914788033460944
9356,Islington Ave at Great Oak Dr,2,1,1,0.00011023701334903337,0.0004104636324968099
9358,Sherbourne St at King St East,2,1,1,0.00011062853171393727,0.0006156954487452148
9359,Bay St at Dundas St West,2,1,1,0.00010064219177043616,0.0023639081569217677
9360,Kingston Rd at Glen Everest Rd,2,1,1,5.949529132645477e-05,0.0015521561240404286
9361,Sheppard Ave East at Birchmount Rd,3,1,2,0.0001314298539979589,0.022699938317954364
9363,College St at Queens Park (Queen's Park Station),2,1,1,0.00010555825732748534,0.006473192375468003
9364,Evans Ave at Sheldon Ave,3,1,2,9.092605762652751e-05,0.004979112164829265
9365,Finch Ave East at Warden Ave,4,2,2,0.00014789613865582546,0.015439907331680713
9366,Islington Ave at New Toronto St South Side,2,1,1,6.714921210752283e-05,0.0032655430313341845
9367,Bathurst St at Bloor St West,4,1,3,2.158073142911375e-05,0.001920164794739444
9368,Underhill Dr at Kellythorne Dr,2,1,1,0.00012007045549267448,0.02701379644387938
9369,Finch Ave West at Keele St,2,1,1,2.386045795261697e-05,0.005548250508991046
9370,Bay St at Bloor St West - Bay Station,2,1,1,9.348094855905409e-05,0.009295831561037856
9371,Old Weston Rd at Rockwell Ave,2,1,1,0.00014798014149419242,0.0045010127750116456
9372,Arrow Rd at Lido Rd South Side,2,1,1,0.00011575870931516778,0.00539609327000331
9374,1816 Lake Shore Blvd East,3,1,2,0.00011062853171393727,0.00020523181624840494
9375,Belfield Rd at Kipling Ave West Side - Etobicoke North GO St,2,1,1,2.675978260656084e-05,0.0018157198535841757
9376,Lawrence Ave West at Roxaline St,3,1,2,6.220222781202383e-05,0.011138030023464413
9377,Grenoble Dr at Spanbridge Rd,2,1,1,0.00010777899440614347,0.0023614951084644834
9378,Penworth Rd at Crosland Dr,2,1,1,0.00011062853171393727,0.0018327307528711188
9379,Neilson Rd at McLevin Ave,2,1,1,8.835929673706532e-05,0.004620285694030908
9380,Birchmount Rd at Crouse Rd,2,1,1,0.00011062853171393727,0.010497696015879767
9382,Eglinton Ave East at Birchmount Rd,2,1,1,7.809564874683528e-05,0.016694333172852953
9383,Warden Ave at 16Th Ave,2,1,1,0.00011062853171393727,0.0012313908974904296
9384,Midland Ave at McNicoll Ave,2,1,1,6.138716135439365e-05,0.0033214589536367505
9385,Kennedy Rd at Craiglee Dr,2,1,1,9.426265209195721e-05,0.0017019353466609954
9386,Weston Rd at Steeles Ave West,3,2,1,0.00010904038441095595,0.007396726764729282
9387,St Clair Ave East at Kingston Rd,6,2,4,0.00015594486699746388,0.022146134064373647
