stop_id,name,degree,in_degree,out_degree,pagerank,betweenness
88,Albion Rd at Martin Grove Rd East Side,2,1,1,0.00011062853171393727,0.0008251807741386644
89,Glencairn Ave at Danesbury Ave,2,1,1,9.519301843753414e-05,0.0036147256441811954
90,84 Davisville Ave - Salvation Army,2,1,1,0.00013160959534548418,0.00725014178363817
91,Sheppard Ave East at Greenbriar Rd,2,1,1,0.00010716686408336918,0.01997046256335377
92,Bellamy Rd North at Banmoor Blvd North Side,2,1,1,7.474674835835233e-05,0.0013425138239047214
93,McLevin Ave at Greenspire Rd,2,1,1,0.00012120446182312396,0.010881778348547809
94,York Mills Rd at Harrison Rd,2,1,1,0.0001386227824240103,0.00010314759676733305
95,Warden Ave at Denison St North Side,2,1,1,6.76850712888147e-05,0.003604849000425351
96,Lawrence Ave West at Scarlett Rd,2,1,1,0.00012055055306897921,0.0005355876931802069
98,Sheppard Ave East at Conlins Rd East Side,2,1,1,0.00012086324210599649,0.004461228504587713
99,Royal York Rd at Trehorne Dr,2,1,1,8.396032405934696e-05,0.003910326183693899
100,Avenue Rd at Lonsdale Rd South Side,2,1,1,9.4179503539129e-05,0.0035309442790302
101,601 Milner Ave,2,1,1,9.763510789767923e-05,0.0015472139515099958
103,Wynford Dr at Don Mills Rd East Side,3,2,1,0.0001965408899887307,0.0028059243618048383
104,Weston Rd at Fern Ave South Side,2,1,1,0.00014407323905826305,0.016569497191333646
105,St Clair Ave East at Victoria Park Ave West Side,2,1,1,9.15520267973317e-05,0.00874515656964615
106,Runnymede Rd at Maher Ave South Side,2,1,1,0.0001487524052723535,0.008123670778392173
107,Rathburn Rd at Pheasant Lane,2,1,1,9.146658402904109e-05,0.0005556146320714589
108,McNicoll Ave at Markham Rd,0,0,0,1.6598932385570904e-05,0.0
110,Bay St at Dundas St West,2,1,1,0.00010595515294911878,0.01285436181180996
111,Dundas St West at Sterling Rd,3,1,2,0.00019307585324789486,0.015277173669596297
112,Church St at Weston Rd,2,1,1,9.612971973368021e-05,0.00473521905572097
114,Royal York Rd at Darlingbrook Cres South Side,2,1,1,0.00014093860761627946,0.004102509570395576
115,Heathrow Dr at Chesham Dr,2,1,1,6.360503913128908e-05,0.0006337728626116546
116,Horner Ave at Alderbrae Ave,2,1,1,0.00010349149397395139,0.00012441514249255636
117,St Clair Ave East at Glen Eden Cres,3,2,1,0.0001764749603064223,0.005212072876790019
119,Kingston Rd at Eastwood Ave,2,1,1,0.00019305118730470112,0.0013502916691985173
120,Markham Rd at Edward Jeffreys Ave,2,1,1,0.00011062853171393727,0.0029854317311782223
121,Leslie St at Commissioners St North Side,2,1,1,8.542892648902422e-05,0.006477031050616759
122,Brimley Rd at Larkhall Ave North Side,2,1,1,8.774908870604688e-05,0.001710068916975552
123,Brimley Rd at Progress Ave,2,1,1,4.396400788452799e-05,0.0021660995321139942
125,St Regis Cres at St Regis Cres North West Side,2,1,1,4.6362795383122525e-05,0.000843979765449353
126,Canarctic Dr at Keele St,2,1,1,7.02498256299086e-05,0.0004038175244576776
127,McCowan Rd at McNicoll Ave,2,1,1,0.00013234331302313884,0.019638239047213957
128,Kennedy Rd at Village Green Sq,2,1,1,0.00011062853171393727,0.00011271799234368354
129,Prince Edward Dr South at Meadowvale Dr,2,1,1,0.0001356304472477114,0.00449374379696583
130,Elmhurst Dr at Henley Cres West Side,2,1,1,9.982441348904507e-05,0.0
131,McNicoll Ave at Brahms Ave,2,1,1,0.00011031896257685723,0.005136555366510706
132,Foxwell St at Bruton Rd East Side,2,1,1,0.0001287174287906491,0.0015054578045684062
133,Burnhamthorpe Rd at Old Burnhamthorpe Rd (East),2,1,1,0.00011233877730984119,0.001856656741811995
134,Claireport Cres (West) at Albion Rd,2,1,1,0.00011062853171393727,0.001959804338579328
135,Danforth Rd at Mack Ave,2,1,1,0.00011637580853494006,0.01701341670197632
136,1216 Lansdowne Ave,2,1,1,0.00011332736517510064,0.004641641854529988
137,Marlee Ave at Ridelle Ave,2,1,1,9.962893804641839e-05,0.0003459014401166677
138,St Clair Ave West at Runnymede Rd West Side,3,2,1,0.00010982077702050705,0.003995745625353888
139,Bay St at Harbour St South Side - Ferry Docks Terminal,2,1,1,0.00016747535179947683,0.011474916758422968
140,Royal York Rd at York View Dr,2,1,1,0.00020349166695955012,0.008145346489136366
141,Glencairn Ave at Glenmount Ave,2,1,1,6.867450962821437e-05,0.004233611224785194
142,Opposite 3400 Keele St,2,1,1,0.00011568528878661149,0.0002057635048915355
143,Denton Ave at Madelaine Ave,3,2,1,0.00010920716713455386,0.005531156954487452
144,Davenport Rd at New St,2,1,1,8.689352422875982e-05,0.0044079560270375235
145,Cosburn Ave at Donlands Ave West Side,2,1,1,0.0001226221436210021,0.00716480575641571
146,Leslie St at Bannatyne Dr North Side,2,1,1,8.03348463290845e-05,0.01295368232363128
147,Woodsworth Rd at Hopperton Dr (East),2,1,1,9.269023982283947e-05,0.0010314759676733306
148,Tapscott Rd at Newgale Gate,3,2,1,8.997380738369189e-05,0.0009421522756273926
149,Kipling Ave at Goswell Rd,2,1,1,0.00015525109181198057,0.005509704320166702
150,McLevin Ave at Tapscott Rd,2,1,1,9.689694806304402e-05,0.007357682764758551
